document_name,domain,question,answer,modality,reasoning_type,page
Attention is all you need,NLP,Mục tiêu chính của bài báo 'Attention is all you need' là gì?,Mục tiêu của bài báo là đề xuất kiến trúc Transformer dựa hoàn toàn vào attention để xử lý sequence transduction.,text,summarization,1
Attention is all you need,NLP,Transformer đạt bao nhiêu BLEU trên bài toán English to German WMT 2014?,Transformer đạt điểm BLEU là 28.4 trên bài toán English to German WMT 2014.,text,fact_extraction,1
Attention is all you need,NLP,Transformer có đặc điểm khác biệt gì so với các mô hình trước đó?,"Transformer loại bỏ hoàn toàn recurrence và convolution, chỉ sử dụng attention mechanism.",table,fact_extraction,8
Attention is all you need,NLP,Mô hình tốt nhất đề cử bởi bài báo 'Attention is all you need' đạt bao nhiêu BLEU trên bài toán English to French WMT 2014?,Transformer big đạt điểm BLEU là 41.0 trên bài toán English to French WMT 2014.,text,fact_extraction,1
Attention is all you need,NLP,"Theo bài báo Attention is all you need, vì sao các mô hình recurrent lại khó parallelization?",Recurrent model xử lý tuần tự theo từng vị trí nên không thể song song hóa trong một sequence.,text,fact_extraction,1
Attention is all you need,NLP,Transformer được huấn luyện trong bao lâu trên English to French?,Transformer được huấn luyện trong 3.5 ngày trên tám P100 GPU.,text,fact_extraction,2
Attention is all you need,NLP,"Trong bài báo 'Attention is all you need', self-attention là gì?",Self attention là cơ chế attention liên kết các vị trí khác nhau trong cùng một sequence để tạo representation.,text,fact_extraction,1
Attention is all you need,NLP,"Trong bài báo Attention is all you need, số lớp trong encoder và decoder là bao nhiêu?",Cả encoder và decoder đều gồm 6 lớp giống nhau.,text,fact_extraction,2
Attention is all you need,NLP,"Mỗi lớp encoder trong kiến trúc Transformer của bài báo ""Attention is all you need"" gồm những thành phần nào?",Mỗi lớp encoder gồm multi head self attention và feed forward network.,text,fact_extraction,2
Attention is all you need,NLP,Kích thước vector dmodel trong bài báo Attention is all you need là bao nhiêu?,Giá trị của dmodel là 512.,text,fact_extraction,2
Attention is all you need,NLP,"Trong mô hình Transformer (Attention is all you need), attention function hoạt động như thế nào?","Attention function ánh xạ query cùng các key-value pairs thành output bằng cách tính weighted sum của values, trong đó trọng số được xác định bởi compatibility giữa query và các key.",text,summarization,3
Attention is all you need,NLP,Công thức của Scaled Dot-Product Attention trong bài báo 'Attention is all you need' có đặc điểm gì?,Scaled dot product attention chia dot product cho căn bậc hai của dk trước khi áp dụng softmax.,image,summarization,4
Attention is all you need,NLP,"Trong mô hình Transformer (Attention is all you need), số lượng head trong Multi-Head Attention là bao nhiêu?",Số lượng head là 8.,table,summarization,5
Attention is all you need,NLP,"Trong mô hình Transformer được giới thiệu trong bài báo 'Attention is all you need', giá trị dk và dv là bao nhiêu?",Giá trị dk và dv đều bằng 64.,table,fact_extraction,5
